Date,Time,Open Price,Highest Price,Lowest Price,Closing Price,Volume Traded
2020.05.18,7:08,0.97138,0.97142,0.97137,0.9714,18
2020.05.18,7:09,0.97139,0.97142,0.97139,0.97139,15
2020.05.18,7:10,0.97139,0.97142,0.97139,0.97142,7
2020.05.18,7:11,0.97142,0.97143,0.97142,0.97142,16
2020.05.18,7:12,0.97142,0.97145,0.97142,0.97144,12
2020.05.18,7:13,0.97142,0.97145,0.97142,0.97142,24
2020.05.18,7:14,0.97142,0.97145,0.9714,0.97142,29
2020.05.18,7:15,0.97142,0.97147,0.97142,0.97147,30
2020.05.18,7:16,0.97147,0.97147,0.97145,0.97146,13
2020.05.18,7:17,0.97145,0.97157,0.97145,0.97152,25
2020.05.18,7:18,0.97153,0.97153,0.97152,0.97152,8
2020.05.18,7:19,0.97152,0.97155,0.97151,0.97155,7
2020.05.18,7:20,0.97157,0.97158,0.97157,0.97157,11
2020.05.18,7:21,0.97157,0.97157,0.97157,0.97157,13
2020.05.18,7:22,0.97157,0.97158,0.97156,0.97156,11
2020.05.18,7:23,0.97157,0.97158,0.97157,0.97157,11
2020.05.18,7:24,0.97157,0.97157,0.97157,0.97157,11
2020.05.18,7:25,0.97157,0.97157,0.97148,0.97149,28
2020.05.18,7:26,0.97149,0.97153,0.97149,0.97152,22
2020.05.18,7:27,0.97152,0.97152,0.97152,0.97152,5
2020.05.18,7:28,0.97152,0.97152,0.97149,0.9715,8
2020.05.18,7:29,0.97149,0.9715,0.97148,0.97149,10
2020.05.18,7:30,,0.9715,0.97147,0.97147,17
2020.05.18,7:31,0.97147,0.97149,0.97147,0.97147,14
2020.05.18,7:32,0.97148,0.97152,0.97147,0.97147,23
2020.05.18,7:33,0.9715,0.9716,0.9715,0.97159,33
2020.05.18,7:34,0.97159,0.9716,0.97153,0.97156,28
2020.05.18,7:35,0.97157,0.97158,0.97156,0.97156,13
2020.05.18,7:36,0.97157,0.97161,0.97157,0.97161,15
2020.05.18,7:37,0.97161,0.97161,0.97157,0.97158,19
2020.05.18,7:38,0.97159,0.9716,0.97156,0.9716,10
2020.05.18,7:39,0.97159,0.97159,0.97157,0.97159,5
2020.05.18,7:40,0.9716,0.97162,0.97157,0.9716,21
2020.05.18,7:41,0.9716,0.9716,0.97156,0.97158,16
2020.05.18,7:42,0.97158,0.97159,0.97157,0.97159,21
2020.05.18,7:43,0.97159,0.97174,0.97159,0.97174,41
2020.05.18,7:44,0.97173,0.97181,0.97172,0.97181,22
2020.05.18,7:45,0.97181,0.97181,0.97175,0.97179,29
2020.05.18,7:46,0.9718,0.97181,0.9718,0.97181,14
